AJUSTE,TIEMPO,CIF,KILO,PAG,GRUPO
0.0,24.44,4036.095,1950.956,1478.932,0
0.0,47.99,13697.25,7009.016,100.0,0
0.0,51.83,4140.22,560.0,1760.332,0
0.0,8.19,3500.0,65.94,225.792,0
0.0,29.31,300.0,32897.564,100.0,0
0.0,5.44,300.0,300.0,100.0,-1
0.0,8.07,23072.945,8709.12,4988.172,-1
0.0,5.59,300.0,300.0,100.0,0
0.0,48.64,3500.0,389.676,254.268,0
0.0,25.72,31618.125,1649.452,3817.884,0
0.0,69.98,910.525,300.0,123.984,0
0.0,5.53,300.0,32897.564,100.0,-1
0.0,41.18,1565.305,300.0,411.18,-1
0.0,8.07,16998.94,17498.236,2165.576,0
0.0,69.98,1911.035,300.0,100.0,0
0.0,68.12,300.0,32897.564,100.0,0
0.0,6.2,429.73,300.0,126.196,1
0.0,69.98,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,-1
0.0,51.83,15146.74,2981.16,100.0,0
0.0,69.98,300.0,300.0,100.0,-1
0.0,51.83,5000.0,2750.0,1350.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,19.53,3697.855,1665.02,639.436,0
0.0,26.06,300.0,300.0,100.0,-1
0.0,49.93,721.42,32897.564,276.332,0
0.0,6.07,2331.77,272.356,283.052,0
0.0,69.98,338.87,300.0,100.0,0
0.0,51.83,3076.57,49.364,661.808,0
0.0,50.16,300.0,32897.564,156.072,0
0.0,50.08,1387.05,604.352,237.552,0
0.0,69.98,300.0,300.0,100.0,-1
0.0,24.14,575.54,32897.564,128.856,-1
0.0,67.0,736.19,32897.564,137.676,0
0.0,51.83,6388.375,2642.864,4761.988,-1
0.0,67.0,688.38,32897.564,103.964,0
0.0,7.97,300.0,32897.564,100.0,-1
0.0,27.16,300.0,300.0,100.0,0
0.0,19.29,300.0,32897.564,100.0,0
0.0,10.23,409.36,32897.564,100.0,0
0.0,67.0,355.67,32897.564,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,37.14,647.29,300.0,170.044,0
0.0,22.27,1799.28,205.408,218.764,0
0.0,69.98,1216.11,300.0,149.716,0
0.0,69.98,1012.55,300.0,123.536,-1
0.0,70.16,686.525,32897.564,100.0,0
0.0,43.35,300.0,300.0,100.0,-1
0.0,69.98,766.115,547.484,208.936,0
0.0,29.11,668.255,327.6,173.628,0
0.0,19.19,1136.31,246.064,297.612,0
0.0,67.0,387.205,32897.564,100.0,0
0.0,23.06,7494.795,8064.0,916.104,-1
0.0,51.83,5287.415,178.388,1124.032,-1
0.0,69.98,308.98,300.0,100.0,0
0.0,45.67,1431.99,612.948,376.712,0
0.0,67.0,414.855,32897.564,100.0,0
0.0,19.19,300.0,32897.564,100.0,0
0.0,8.28,300.0,300.0,100.0,0
0.0,21.94,11239.41,5587.288,2409.372,-1
0.0,50.04,3500.0,300.468,250.068,0
0.0,51.83,3446.52,5502.56,908.236,0
0.0,43.36,300.0,300.0,100.0,0
0.0,6.34,865.2,300.0,109.004,0
0.0,51.83,6325.41,711.424,767.2,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,69.98,1837.99,300.0,231.028,0
0.0,67.92,1074.115,1773.968,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,69.98,539.665,380.8,120.008,0
0.0,69.98,300.0,300.0,100.0,0
0.0,35.36,300.0,32897.564,100.0,-1
0.0,29.99,300.0,300.0,100.0,-1
0.0,5.37,1715.28,305.536,224.56,0
0.0,27.4,300.0,300.0,100.0,-1
0.0,43.1,1600.06,44.772,198.8,0
0.0,23.57,300.0,32897.564,100.0,0
0.0,69.98,1157.38,300.0,317.072,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,22.29,652.155,32897.564,174.076,-1
0.0,4.68,670.985,32897.564,100.0,0
0.0,22.94,31745.875,4247.516,5280.156,0
0.0,51.83,22771.28,2318.316,4888.072,0
0.0,47.42,1736.805,1001.028,455.672,0
0.0,67.0,300.0,32897.564,102.2,0
0.0,16.97,632.345,32897.564,133.476,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,11.97,4101.02,448.728,1080.128,-1
0.0,22.09,385.7,300.0,100.0,0
0.0,6.05,1829.485,300.0,435.288,1
0.0,23.49,300.0,300.0,100.0,-1
0.0,40.4,300.0,300.0,100.0,0
0.0,27.27,471.345,300.0,125.58,-1
0.0,69.98,300.0,300.0,100.0,1
0.0,6.79,300.0,32897.564,100.0,0
0.0,51.83,8750.0,2639.616,3191.02,0
0.0,24.5,789.6,1181.88,597.94,-1
0.0,69.98,791.805,300.0,104.244,0
0.0,69.98,300.0,300.0,100.0,-1
0.0,67.0,315.665,32897.564,100.0,0
0.0,23.16,3500.0,2067.996,409.332,0
0.0,69.98,300.0,300.0,100.0,0
0.0,42.24,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,24.78,300.0,32897.564,100.0,0
0.0,23.81,884.485,300.0,192.836,-1
0.0,6.82,300.0,32897.564,100.0,0
0.0,51.83,5000.0,2750.0,1350.0,0
0.0,51.83,15566.39,1561.952,3432.436,-1
0.0,4.39,300.0,32897.564,100.0,0
0.0,28.18,18227.475,3745.084,3034.248,0
0.0,47.02,1248.31,300.0,153.692,0
0.0,69.98,507.255,300.0,171.416,1
0.0,11.99,322.56,32897.564,100.0,-1
0.0,51.83,5000.0,2750.0,1350.0,0
0.0,42.56,300.0,32897.564,100.0,0
0.0,27.31,380.065,300.0,203.42,-1
0.0,31.53,1859.795,2217.6,335.188,0
0.0,48.99,816.305,300.0,180.628,-1
0.0,25.99,300.0,300.0,100.0,-1
0.0,8.27,300.0,300.0,100.0,0
0.0,16.87,300.0,32897.564,100.0,-1
0.0,25.4,477.295,32897.564,126.28,0
0.0,6.36,1707.44,243.236,360.612,-1
0.0,5.72,1273.265,126.784,155.372,0
0.0,16.12,300.0,300.0,100.0,0
0.0,8.32,630.0,32897.564,100.0,0
0.0,25.07,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,5.75,300.0,300.0,100.0,0
0.0,5.53,300.0,32897.564,100.0,-1
0.0,44.2,443.625,796.488,189.504,0
0.0,69.98,300.0,300.0,100.0,0
0.0,69.98,418.355,300.0,100.0,0
0.0,10.91,300.0,300.0,100.0,0
0.0,69.98,604.31,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
