AJUSTE,TIEMPO,CIF,KILO,PAG,GRUPO,Prediccion_Ajuste_Modelo 1: Red Neuronal con Más Capas y Neuronas,Prediccion_Ajuste_Modelo 2: Red Neuronal con Menos Capas y Neuronas,Prediccion_Ajuste_Modelo 3: Red Neuronal con Capas Convolucionales (CNN)
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,73.82,300.0,32897.564,100.0,0,64.15725,61.942863,75.535904
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,53.1,300.0,32897.564,100.0,0,64.48888,14.873724,46.674232
0.0,7.03,22199.17,4469.836,5764.416,-1,1287.2595,1733.8306,1884.3883
0.0,26.57,300.0,32897.564,100.0,0,64.97407,23.416956,49.01432
0.0,25.82,300.0,300.0,100.0,0,67.67012,23.70255,53.403336
0.0,2.32,300.0,300.0,100.0,0,76.10759,37.96679,59.102474
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,11.04,300.0,32897.564,100.0,-1,108.131096,26.04183,72.69694
0.0,11.18,12601.155,13272.0,1557.948,-1,214.6295,423.53674,384.8055
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,68.6,300.0,300.0,100.0,0,69.21021,23.691557,61.953503
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,17.0,25187.785,4233.6,6777.204,-1,1558.5483,2132.7969,2273.401
0.0,21.94,2543.94,5607.616,681.156,-1,108.131096,159.58757,85.6443
0.0,50.44,2005.5,1953.532,523.572,0,75.76172,82.52641,58.64982
0.0,67.0,303.31,32897.564,100.0,0,64.16442,22.32823,64.033585
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,1.72,638.75,300.0,218.624,0,101.65094,57.5477,59.872833
0.0,30.94,1806.98,166.6,238.308,0,69.50359,36.539345,52.9909
0.0,14.67,15515.99,77700.0,2146.396,0,308.31506,562.4448,673.27563
0.0,67.0,361.795,32897.564,100.0,-1,80.56471,16.831541,88.179245
0.0,68.68,300.0,32897.564,100.0,0,64.16217,24.680227,66.86675
0.0,45.88,2060.905,211.4,765.212,0,108.13108,130.99373,69.842514
0.0,9.78,300.0,32897.564,100.0,-1,108.77046,26.644949,73.16251
0.0,67.0,313.32,32897.564,100.0,0,64.16431,22.328245,64.03464
0.0,49.6,1433.67,506.38,374.332,0,70.73423,56.100464,54.686356
0.0,23.53,300.0,300.0,100.0,0,67.6289,24.6724,54.09667
0.0,69.98,300.0,300.0,126.952,0,68.40184,30.444242,62.933235
0.0,69.98,727.16,300.0,123.116,-1,108.131096,25.34057,68.7392
0.0,69.98,631.855,534.156,100.0,0,69.227646,27.210257,62.880806
0.0,6.4,300.0,300.0,100.0,0,71.56888,31.927141,58.354275
0.0,51.83,5000.0,2750.0,1350.0,1,142.48195,311.40186,141.93472
0.0,67.0,560.7,32897.564,158.228,0,64.28955,27.958029,69.098785
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,47.07,11405.66,7139.636,2981.44,0,316.43155,809.279,710.89514
0.0,47.93,5000.0,2750.0,1350.0,0,110.00953,234.40138,128.5371
0.0,51.83,2564.695,1959.272,327.348,0,69.624626,47.695885,53.998398
0.0,63.18,300.0,300.0,100.0,-1,108.131096,14.930933,63.973637
0.0,5.77,300.0,32897.564,100.0,0,67.2031,33.454025,57.444687
0.0,51.83,3500.0,4.48,160.496,0,67.87683,19.962122,51.264084
0.0,31.31,11007.08,1273.328,1330.896,0,108.131096,264.791,129.51892
0.0,50.32,300.0,32897.564,100.0,0,64.65373,15.26494,45.99388
0.0,48.65,300.0,300.0,100.0,0,67.84243,15.503859,50.38166
0.0,19.6,29943.41,19020.96,6495.356,0,1670.9,2112.5044,2206.4392
0.0,69.98,300.0,300.0,100.0,-1,108.131096,22.03879,68.676994
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,18.89,18229.89,5082.0,2358.468,-1,286.65442,596.52594,545.89813
0.0,24.77,300.0,300.0,100.0,-1,108.131096,19.4993,57.941025
0.0,51.83,3106.145,1893.388,813.988,0,108.131096,137.70221,76.51157
0.0,51.83,1788.01,31.5,302.652,0,69.71164,43.301117,54.123516
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,51.83,5000.0,2750.0,1350.0,0,112.38958,242.91885,132.1428
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,74.27,300.0,32897.564,100.0,0,64.15663,66.40071,76.283104
0.0,51.83,5000.0,2750.0,1350.0,0,112.3896,242.91885,132.1428
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,67.0,373.24,32897.564,518.28,0,67.789536,125.83045,127.67865
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,46.23,300.0,336.0,100.0,0,67.78566,15.843813,50.3079
0.0,49.2,781.48,300.0,172.508,0,67.71344,21.696894,50.33549
0.0,69.98,1594.25,300.0,193.396,-1,108.131096,41.210693,69.742966
0.0,30.05,715.575,300.0,190.764,0,68.786415,29.957872,52.28
0.0,51.83,2764.195,708.708,362.264,0,69.80185,53.87069,55.289837
0.0,51.83,5561.395,543.368,673.456,0,91.28406,111.24827,64.715485
0.0,49.35,300.0,452.592,100.0,0,67.88006,15.4055,50.418274
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,49.6,3098.06,1580.152,100.0,0,68.7674,15.370447,50.25138
0.0,5.78,3373.965,5593.0,760.032,0,108.131096,201.88466,86.4794
0.0,24.43,300.0,300.0,100.0,-1,108.131096,19.614286,58.046146
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,67.0,300.0,32897.564,100.0,-1,80.707054,16.830183,88.20573
0.0,7.65,4906.23,642.432,1090.012,-1,170.42879,318.26,133.90997
0.0,67.0,708.05,32897.564,184.548,0,64.55861,31.890985,72.38097
0.0,69.98,707.7,300.0,313.6,1,72.36949,115.57722,66.49919
0.0,12.53,7683.41,1927.828,1002.232,0,108.131096,246.443,105.25729
0.0,0.27,882.28,300.0,240.828,0,108.131096,66.074646,60.589725
0.0,8.29,3500.0,145.824,207.144,1,113.44245,53.99276,60.838173
0.0,69.98,1000.615,300.0,168.28,0,68.02086,38.849403,63.221466
0.0,67.0,335.16,32897.564,100.0,0,64.16407,22.328268,64.03694
0.0,69.98,1796.025,300.0,219.464,0,67.800995,52.805634,64.1875
0.0,7.36,12390.07,5107.2,2178.428,0,167.62071,572.03937,495.9435
0.0,7.01,1824.06,739.2,280.0,-1,115.61613,65.60996,65.76889
0.0,69.98,711.025,300.0,100.0,0,69.2945,27.197882,62.851665
0.0,11.8,300.0,300.0,100.0,0,69.7189,29.640188,57.168285
0.0,29.71,721.07,32897.564,100.0,0,64.8363,22.08352,48.0549
0.0,25.94,1865.43,1411.2,265.216,-1,108.131096,46.264664,60.306694
0.0,46.1,1849.05,737.66,684.096,0,108.131096,115.21113,63.483665
0.0,48.09,344.855,32897.564,100.0,0,64.74655,15.58032,45.92894
0.0,9.55,8264.48,2004.156,1769.432,1,175.17159,523.0108,251.88794
0.0,2.44,300.0,300.0,100.0,0,75.95029,37.715973,59.081207
0.0,69.98,300.0,300.0,1101.576,0,113.735054,358.16833,133.0219
0.0,26.77,2596.195,378.588,436.1,0,74.6806,73.7205,58.238594
0.0,69.98,300.0,300.0,100.0,1,66.31002,59.61183,63.079742
0.0,9.23,22386.0,4408.32,2928.94,-1,496.84354,781.105,737.21356
